area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,Under Construction,Gandhi Path West,1 BHK,Golden Horizon,2157,1,1,66.24
Super built-up Area,Ready To Move,Tagore Nagar,5 BHK,Pearl Gardens,841,5,3,74.19
Plot Area,Ready To Move,Brahmpuri,2 BHK,Prime Residency,1247,2,2,101.75
Plot Area,Ready To Move,Mansarovar Ext.,1 BHK,Sunrise Apartments,4034,2,0,512.05
Super built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Luxury Heights,2316,3,1,205.93
Built-up Area,Ready To Move,Chokdi Gangapol,2 BHK,Prime Residency,613,3,1,44.0
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Pearl Gardens,3399,5,3,326.6
Super built-up Area,Ready To Move,Dahar Ka Balaji,5 BHK,Raj Villas,848,5,3,40.93
Super built-up Area,Ready To Move,Brahmpuri,5 BHK,Raj Villas,3090,4,3,179.6
Super built-up Area,Ready To Move,Mansarovar Ext.,1 BHK,Blue Haven,2022,1,0,216.37
Plot Area,Ready To Move,Maniyawas,5 BHK,Shyam Residency,4885,4,3,313.64
Plot Area,Ready To Move,Dahar Ka Balaji,4 BHK,Green Meadows,3699,3,3,319.53
Plot Area,Ready To Move,Vaishali Nagar,1 BHK,Metro Heights,2101,2,1,215.02
Built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Golden Horizon,2691,1,1,380.7
Built-up Area,Ready To Move,Vaishali Nagar,4 BHK,Sapphire Residency,1336,4,2,148.7
Carpet Area,Under Construction,Hanuman Nagar,4 BHK,Shyam Residency,2427,3,3,212.18
Super built-up Area,Ready To Move,Maniyawas,5 BHK,Pearl Gardens,3182,4,3,294.37
Plot Area,Ready To Move,Maniyawas,4 BHK,Heritage Homes,2079,3,3,247.12
Built-up Area,Ready To Move,Jawahar Nagar,3 BHK,Emerald Greens,2538,3,2,315.85
Plot Area,Under Construction,Sita Vihar,3 BHK,Urban Estate,4630,2,1,413.63
Plot Area,Ready To Move,Bapu Nagar,5 BHK,Sunrise Apartments,2804,5,3,89.22
Plot Area,Ready To Move,Sirsi,5 BHK,Pearl Gardens,2845,5,3,315.57
Built-up Area,Ready To Move,Parasrampuri,5 BHK,City Heights,2601,5,3,164.29
Super built-up Area,Ready To Move,Civil Lines,5 BHK,Urban Estate,2726,4,3,292.0
Plot Area,Under Construction,Raja Park,1 BHK,Green Meadows,1371,2,0,89.02
Super built-up Area,Ready To Move,Shyam Nagar,1 BHK,Heritage Homes,2260,1,0,71.18
Plot Area,Ready To Move,Maniyawas,5 BHK,Royal Enclave,1797,5,3,90.81
Super built-up Area,Under Construction,Sita Vihar,5 BHK,Luxury Heights,1981,5,3,247.12
Carpet Area,Under Construction,Sita Vihar,2 BHK,Golden Horizon,1026,1,2,54.43
Super built-up Area,Ready To Move,Sita Vihar,2 BHK,Heritage Homes,1695,2,0,43.6
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Royal Enclave,2021,3,2,281.98
Super built-up Area,Ready To Move,Sita Vihar,3 BHK,Golden Horizon,1427,2,3,183.11
Plot Area,Under Construction,Raja Park,5 BHK,Emerald Greens,4271,5,3,374.6
Super built-up Area,Under Construction,Bapu Nagar,5 BHK,City Heights,1289,4,3,39.87
Super built-up Area,Under Construction,Brahmpuri,4 BHK,Pearl Gardens,2842,5,3,224.44
Carpet Area,Under Construction,Civil Lines,1 BHK,Royal Enclave,2109,2,1,303.15
Plot Area,Under Construction,Parasrampuri,5 BHK,Cosmopolitan Society,4231,5,3,484.55
Super built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Zenith Society,1065,4,1,126.7
Plot Area,Ready To Move,Sita Vihar,2 BHK,Emerald Greens,1494,2,0,107.8
Built-up Area,Ready To Move,Maniyawas,1 BHK,Sapphire Residency,1124,1,0,158.95
Super built-up Area,Ready To Move,Parasrampuri,4 BHK,Zenith Society,1163,4,3,87.74
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Urban Estate,1630,5,3,128.17
Super built-up Area,Ready To Move,Maniyawas,1 BHK,Elite Society,1467,1,1,34.3
Plot Area,Under Construction,Brahmpuri,2 BHK,Emerald Greens,2865,2,2,151.61
Built-up Area,Ready To Move,Jawahar Nagar,4 BHK,Pearl Gardens,788,3,3,99.33
Super built-up Area,Under Construction,Gandhi Path West,1 BHK,City Heights,3325,2,0,102.79
Carpet Area,Ready To Move,Jawahar Nagar,1 BHK,Raj Villas,886,2,1,64.29
Super built-up Area,Ready To Move,Vaishali Nagar,3 BHK,Heritage Homes,3437,4,2,308.98
Built-up Area,Ready To Move,Malviya Nagar,5 BHK,Cosmopolitan Society,2921,5,3,259.96
Plot Area,Under Construction,Sirsi,1 BHK,Elite Society,1063,1,0,65.25
Carpet Area,Ready To Move,Raja Park,4 BHK,Luxury Heights,1155,5,2,110.9
Built-up Area,Ready To Move,Manchwa,4 BHK,Raj Villas,1983,3,3,107.64
Super built-up Area,Ready To Move,Vaishali Nagar,5 BHK,Metro Heights,1734,5,3,257.59
Plot Area,Ready To Move,Gandhi Path West,2 BHK,Royal Enclave,4025,1,2,514.24
Super built-up Area,Ready To Move,Raja Park,2 BHK,Raj Villas,947,1,1,107.19
Plot Area,Ready To Move,Hanuman Nagar,3 BHK,Shyam Residency,2988,3,3,291.98
Built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Sapphire Residency,1694,3,0,198.35
Super built-up Area,Under Construction,Gandhi Path West,2 BHK,Emerald Greens,3348,2,0,119.79
Super built-up Area,Under Construction,Jawahar Nagar,3 BHK,Pearl Gardens,1239,2,1,47.88
Super built-up Area,Ready To Move,Raja Park,2 BHK,Elite Society,1288,2,0,102.77
Super built-up Area,Ready To Move,Malviya Nagar,1 BHK,Raj Villas,2236,1,0,195.29
Super built-up Area,Under Construction,Sirsi,5 BHK,Elite Society,2392,5,3,226.54
Plot Area,Ready To Move,Sirsi,5 BHK,Pearl Gardens,2703,5,3,337.32
Plot Area,Under Construction,Jawahar Nagar,4 BHK,Zenith Society,1094,3,2,69.8
Super built-up Area,Ready To Move,Maniyawas,2 BHK,Raj Villas,1689,1,1,181.33
Built-up Area,Ready To Move,Brahmpuri,2 BHK,Emerald Greens,2519,2,0,150.67
Super built-up Area,Ready To Move,Bapu Nagar,3 BHK,Shyam Residency,2731,3,2,353.92
Plot Area,Under Construction,Brahmpuri,2 BHK,Elite Society,4578,1,1,174.65
Super built-up Area,Under Construction,Dahar Ka Balaji,1 BHK,Heritage Homes,2857,1,0,217.35
Super built-up Area,Ready To Move,Maniyawas,5 BHK,Heritage Homes,2497,5,3,162.31
Super built-up Area,Under Construction,Manchwa,3 BHK,Green Meadows,1227,4,2,158.65
Carpet Area,Ready To Move,Raja Park,3 BHK,Royal Enclave,1814,4,1,257.41
Super built-up Area,Ready To Move,Bapu Nagar,3 BHK,Cosmopolitan Society,1626,3,2,225.64
Super built-up Area,Under Construction,Sita Vihar,1 BHK,Pearl Gardens,2883,1,1,98.15
Super built-up Area,Ready To Move,Civil Lines,5 BHK,Blue Haven,779,5,3,64.13
Super built-up Area,Ready To Move,Vaishali Nagar,1 BHK,Cosmopolitan Society,1402,2,0,60.91
Super built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Prime Residency,1470,4,1,199.92
Plot Area,Ready To Move,Brahmpuri,5 BHK,Raj Villas,980,4,3,38.4
Built-up Area,Ready To Move,Sirsi,3 BHK,Zenith Society,1742,2,1,92.8
Plot Area,Ready To Move,Gandhi Path West,4 BHK,Zenith Society,1873,4,3,125.51
Plot Area,Ready To Move,Chokdi Gangapol,3 BHK,Blue Haven,2732,4,2,377.89
Plot Area,Ready To Move,Manchwa,5 BHK,Zenith Society,4229,4,3,484.49
Built-up Area,Ready To Move,Gandhi Path West,4 BHK,Heritage Homes,1716,3,3,149.72
Built-up Area,Ready To Move,Sita Vihar,4 BHK,Park View,1219,3,3,111.21
Super built-up Area,Ready To Move,Raja Park,4 BHK,Heritage Homes,2219,4,3,206.5
Super built-up Area,Ready To Move,Mansarovar Ext.,1 BHK,Heritage Homes,2529,1,1,150.35
Carpet Area,Ready To Move,Manchwa,3 BHK,Blue Haven,2197,2,2,323.92
Plot Area,Under Construction,Shyam Nagar,5 BHK,Heritage Homes,4648,5,3,511.27
Plot Area,Under Construction,Sita Vihar,2 BHK,Sunrise Apartments,3843,1,0,480.9
Plot Area,Under Construction,Vaishali Nagar,5 BHK,Emerald Greens,2961,5,3,327.16
Plot Area,Ready To Move,Hanuman Nagar,5 BHK,Cosmopolitan Society,4882,4,3,242.48
Plot Area,Ready To Move,Jawahar Nagar,2 BHK,Royal Enclave,1065,3,0,46.44
Super built-up Area,Ready To Move,Brahmpuri,2 BHK,City Heights,752,3,0,107.75
Super built-up Area,Under Construction,Civil Lines,2 BHK,Royal Enclave,1428,2,1,141.28
Plot Area,Ready To Move,Hanuman Nagar,5 BHK,Elite Society,1355,5,3,179.88
Plot Area,Ready To Move,Malviya Nagar,3 BHK,Metro Heights,3097,3,3,115.82
Built-up Area,Under Construction,Shyam Nagar,4 BHK,Sapphire Residency,2475,3,3,218.82
Plot Area,Under Construction,Malviya Nagar,2 BHK,Sunrise Apartments,3425,1,0,482.29
Super built-up Area,Under Construction,Hanuman Nagar,2 BHK,Green Meadows,2157,3,1,77.64
Built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Green Meadows,2073,1,1,168.03
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Urban Estate,1884,1,2,146.75
Built-up Area,Ready To Move,Vaishali Nagar,3 BHK,Green Meadows,2740,4,3,227.51
Carpet Area,Ready To Move,Sirsi,3 BHK,Metro Heights,752,4,2,99.9
Plot Area,Ready To Move,Ajmer Road,5 BHK,Park View,2198,5,3,317.75
Plot Area,Under Construction,Maniyawas,2 BHK,Luxury Heights,3580,2,1,250.35
Plot Area,Under Construction,Raja Park,3 BHK,Green Meadows,1193,2,2,133.35
Plot Area,Ready To Move,Vaishali Nagar,3 BHK,Cosmopolitan Society,2973,3,1,158.36
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Shyam Residency,2022,4,3,65.94
Plot Area,Ready To Move,Dahar Ka Balaji,3 BHK,Emerald Greens,3542,3,1,406.13
Super built-up Area,Under Construction,Gandhi Path West,4 BHK,Metro Heights,2869,5,3,348.32
Plot Area,Under Construction,Tagore Nagar,5 BHK,Park View,4471,5,3,452.18
Super built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Golden Horizon,3342,3,2,280.32
Plot Area,Under Construction,Parasrampuri,5 BHK,City Heights,4527,5,3,118.85
Super built-up Area,Ready To Move,Sita Vihar,2 BHK,Cosmopolitan Society,2962,3,1,424.02
Built-up Area,Ready To Move,Parasrampuri,3 BHK,Blue Haven,1917,4,1,175.65
Built-up Area,Under Construction,Vaishali Nagar,4 BHK,Heritage Homes,2065,4,2,270.05
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Shyam Residency,1546,4,3,215.42
Super built-up Area,Ready To Move,Manchwa,1 BHK,Pearl Gardens,982,1,1,137.58
Plot Area,Under Construction,Parasrampuri,2 BHK,Blue Haven,4766,3,1,247.39
Carpet Area,Ready To Move,Sirsi,2 BHK,Green Meadows,1232,2,1,73.37
Built-up Area,Ready To Move,Civil Lines,2 BHK,Golden Horizon,1647,3,2,114.28
Built-up Area,Ready To Move,Manchwa,5 BHK,Sapphire Residency,1289,5,3,121.2
Super built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Prime Residency,2343,3,2,142.7
Plot Area,Ready To Move,Jawahar Nagar,2 BHK,Prime Residency,1096,3,0,91.54
Plot Area,Ready To Move,Shyam Nagar,1 BHK,Luxury Heights,3006,2,1,220.51
Built-up Area,Ready To Move,Sita Vihar,5 BHK,Shyam Residency,2167,4,3,174.23
Plot Area,Ready To Move,Malviya Nagar,5 BHK,Sunrise Apartments,971,5,3,65.94
Super built-up Area,Ready To Move,Raja Park,4 BHK,Elite Society,1781,4,3,143.89
Built-up Area,Under Construction,Gandhi Path West,3 BHK,Blue Haven,688,3,2,19.6
Super built-up Area,Ready To Move,Brahmpuri,2 BHK,Elite Society,2358,3,0,181.36
Super built-up Area,Ready To Move,Shyam Nagar,2 BHK,Sapphire Residency,2746,2,0,178.94
Built-up Area,Ready To Move,Ajmer Road,3 BHK,Green Meadows,818,4,3,83.69
Super built-up Area,Under Construction,Raja Park,1 BHK,Prime Residency,2592,1,0,96.3
Built-up Area,Ready To Move,Malviya Nagar,1 BHK,Cosmopolitan Society,2334,2,1,174.52
Super built-up Area,Under Construction,Mansarovar Ext.,2 BHK,Royal Enclave,711,1,1,39.83
Super built-up Area,Under Construction,Manchwa,4 BHK,Luxury Heights,3120,3,3,114.05
Plot Area,Under Construction,Dahar Ka Balaji,2 BHK,Luxury Heights,1286,1,1,156.07
Plot Area,Ready To Move,Raja Park,5 BHK,Green Meadows,3377,5,3,158.64
Super built-up Area,Ready To Move,Mansarovar Ext.,4 BHK,Zenith Society,2626,5,3,173.97
Built-up Area,Under Construction,Tagore Nagar,4 BHK,City Heights,646,5,3,81.5
Plot Area,Under Construction,Civil Lines,2 BHK,Luxury Heights,2191,2,1,276.47
Plot Area,Ready To Move,Tagore Nagar,5 BHK,Urban Estate,1337,5,3,52.75
Built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Luxury Heights,2101,3,0,110.48
Built-up Area,Under Construction,Tagore Nagar,4 BHK,Sapphire Residency,2997,4,3,200.59
Super built-up Area,Ready To Move,Raja Park,5 BHK,Pearl Gardens,2948,5,3,191.76
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,Urban Estate,3223,1,0,384.67
Plot Area,Ready To Move,Dahar Ka Balaji,2 BHK,City Heights,4914,1,0,597.58
Super built-up Area,Under Construction,Gandhi Path West,3 BHK,Golden Horizon,1425,4,1,118.52
Carpet Area,Ready To Move,Ajmer Road,2 BHK,Pearl Gardens,2330,2,0,209.01
Built-up Area,Under Construction,Ajmer Road,3 BHK,Raj Villas,1006,4,1,142.34
Super built-up Area,Ready To Move,Jawahar Nagar,5 BHK,Park View,3306,5,3,84.28
Plot Area,Ready To Move,Raja Park,4 BHK,Shyam Residency,1459,4,2,145.18
Plot Area,Ready To Move,Sita Vihar,2 BHK,Blue Haven,4261,3,2,489.13
Carpet Area,Ready To Move,Jawahar Nagar,5 BHK,Shyam Residency,944,5,3,35.4
Built-up Area,Ready To Move,Malviya Nagar,1 BHK,Zenith Society,2760,1,0,311.38
Carpet Area,Under Construction,Tagore Nagar,1 BHK,Sapphire Residency,1797,2,0,224.79
Super built-up Area,Ready To Move,Sita Vihar,1 BHK,Blue Haven,3468,2,0,219.23
Plot Area,Under Construction,Jawahar Nagar,4 BHK,Raj Villas,2723,3,2,165.33
Built-up Area,Under Construction,Brahmpuri,3 BHK,Park View,2559,3,2,158.19
Carpet Area,Ready To Move,Tagore Nagar,2 BHK,Metro Heights,1914,1,0,53.82
Plot Area,Ready To Move,Tagore Nagar,1 BHK,Green Meadows,994,1,0,95.0
Carpet Area,Ready To Move,Tagore Nagar,1 BHK,Royal Enclave,2156,1,0,271.05
Built-up Area,Ready To Move,Parasrampuri,5 BHK,Royal Enclave,2280,5,3,233.35
Plot Area,Ready To Move,Brahmpuri,1 BHK,Luxury Heights,2457,2,0,240.5
Plot Area,Ready To Move,Maniyawas,1 BHK,Park View,3158,1,0,237.44
Super built-up Area,Ready To Move,Brahmpuri,2 BHK,Metro Heights,768,2,1,48.17
Super built-up Area,Under Construction,Jawahar Nagar,2 BHK,Golden Horizon,766,2,2,108.98
Super built-up Area,Ready To Move,Maniyawas,5 BHK,Elite Society,2792,5,3,345.86
Super built-up Area,Under Construction,Jawahar Nagar,5 BHK,Pearl Gardens,1969,5,3,103.66
Plot Area,Under Construction,Sirsi,2 BHK,Green Meadows,2338,3,2,295.8
Plot Area,Ready To Move,Brahmpuri,1 BHK,Park View,899,2,0,113.55
Plot Area,Under Construction,Tagore Nagar,1 BHK,Raj Villas,2919,1,0,105.86
Plot Area,Ready To Move,Hanuman Nagar,2 BHK,Urban Estate,934,1,1,111.18
Plot Area,Ready To Move,Vaishali Nagar,1 BHK,Golden Horizon,4366,1,0,113.88
Built-up Area,Ready To Move,Malviya Nagar,1 BHK,Blue Haven,892,2,1,21.37
Plot Area,Under Construction,Jawahar Nagar,2 BHK,Prime Residency,3604,1,1,502.81
Plot Area,Ready To Move,Sita Vihar,1 BHK,Shyam Residency,1669,1,0,110.87
Built-up Area,Ready To Move,Maniyawas,1 BHK,Urban Estate,1127,1,0,156.11
Super built-up Area,Ready To Move,Maniyawas,4 BHK,Raj Villas,1659,3,2,187.44
Super built-up Area,Ready To Move,Civil Lines,5 BHK,Cosmopolitan Society,2040,5,3,234.22
Super built-up Area,Ready To Move,Gandhi Path West,4 BHK,Raj Villas,1217,3,2,81.85
Plot Area,Ready To Move,Ajmer Road,2 BHK,Royal Enclave,4361,1,2,116.44
Built-up Area,Ready To Move,Manchwa,3 BHK,Sunrise Apartments,1012,3,2,36.75
Super built-up Area,Ready To Move,Vaishali Nagar,3 BHK,Park View,1555,4,3,177.95
Plot Area,Under Construction,Sirsi,1 BHK,Shyam Residency,1483,1,0,212.16
Super built-up Area,Ready To Move,Gandhi Path West,5 BHK,Park View,998,5,3,127.42
Built-up Area,Ready To Move,Jawahar Nagar,3 BHK,City Heights,1953,3,2,156.98
Plot Area,Ready To Move,Civil Lines,5 BHK,Sapphire Residency,1708,5,3,120.03
Plot Area,Under Construction,Vaishali Nagar,2 BHK,Luxury Heights,2102,3,0,264.0
Plot Area,Ready To Move,Maniyawas,1 BHK,Elite Society,4170,1,0,154.66
Plot Area,Under Construction,Ajmer Road,4 BHK,Metro Heights,3722,5,2,168.73
Built-up Area,Ready To Move,Hanuman Nagar,4 BHK,Luxury Heights,2962,4,3,139.57
Built-up Area,Ready To Move,Chokdi Gangapol,2 BHK,Metro Heights,1127,1,0,76.8
Super built-up Area,Ready To Move,Sirsi,3 BHK,Metro Heights,3446,2,1,441.41
Super built-up Area,Under Construction,Raja Park,5 BHK,Metro Heights,961,5,3,80.67
Plot Area,Ready To Move,Shyam Nagar,3 BHK,Sapphire Residency,823,4,2,100.97
Plot Area,Under Construction,Maniyawas,5 BHK,Sunrise Apartments,3180,5,3,134.48
Plot Area,Ready To Move,Raja Park,4 BHK,Metro Heights,834,5,2,67.29
Carpet Area,Ready To Move,Raja Park,5 BHK,Heritage Homes,1191,5,3,37.13
Plot Area,Under Construction,Raja Park,4 BHK,Golden Horizon,4931,3,3,471.51
Plot Area,Under Construction,Ajmer Road,5 BHK,Elite Society,1257,5,3,128.38
Super built-up Area,Under Construction,Civil Lines,5 BHK,Zenith Society,866,5,3,37.99
Super built-up Area,Ready To Move,Manchwa,4 BHK,Raj Villas,1226,3,2,52.63
Super built-up Area,Under Construction,Jawahar Nagar,4 BHK,Park View,1829,3,2,233.19
Built-up Area,Under Construction,Sirsi,2 BHK,Golden Horizon,2609,3,0,96.5
Super built-up Area,Ready To Move,Parasrampuri,2 BHK,Golden Horizon,2163,1,1,237.41
Plot Area,Under Construction,Hanuman Nagar,1 BHK,Park View,4592,1,0,611.55
Plot Area,Ready To Move,Civil Lines,3 BHK,Shyam Residency,2829,4,1,85.81
Super built-up Area,Under Construction,Malviya Nagar,5 BHK,Metro Heights,1637,4,3,234.47
Carpet Area,Ready To Move,Sirsi,5 BHK,Royal Enclave,1144,5,3,139.73
Super built-up Area,Under Construction,Brahmpuri,4 BHK,Heritage Homes,3195,5,3,246.78
Super built-up Area,Ready To Move,Tagore Nagar,3 BHK,Zenith Society,1691,2,1,35.67
Plot Area,Ready To Move,Malviya Nagar,1 BHK,Urban Estate,3971,2,0,505.6
Super built-up Area,Ready To Move,Brahmpuri,3 BHK,Raj Villas,2966,2,3,331.57
Super built-up Area,Under Construction,Malviya Nagar,2 BHK,Sunrise Apartments,2114,1,1,209.05
Super built-up Area,Ready To Move,Sita Vihar,5 BHK,Sunrise Apartments,2975,4,3,424.65
Plot Area,Ready To Move,Sirsi,4 BHK,Prime Residency,2507,4,3,194.99
Super built-up Area,Under Construction,Chokdi Gangapol,4 BHK,Luxury Heights,733,4,3,107.69
Built-up Area,Ready To Move,Bapu Nagar,4 BHK,Zenith Society,2446,5,3,260.12
Super built-up Area,Ready To Move,Tagore Nagar,2 BHK,Emerald Greens,1279,1,0,38.79
Built-up Area,Ready To Move,Bapu Nagar,3 BHK,Elite Society,2268,2,1,136.2
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Pearl Gardens,3085,5,3,218.72
Built-up Area,Ready To Move,Parasrampuri,2 BHK,Urban Estate,1210,2,0,153.73
Plot Area,Under Construction,Sita Vihar,2 BHK,Blue Haven,2576,1,1,312.55
Super built-up Area,Under Construction,Manchwa,2 BHK,Sunrise Apartments,3143,2,0,204.49
Super built-up Area,Under Construction,Hanuman Nagar,3 BHK,Raj Villas,982,3,2,49.91
Super built-up Area,Under Construction,Dahar Ka Balaji,1 BHK,Royal Enclave,1594,2,1,156.37
Super built-up Area,Under Construction,Ajmer Road,5 BHK,Shyam Residency,766,5,3,56.47
Super built-up Area,Ready To Move,Manchwa,3 BHK,Sunrise Apartments,840,3,1,57.44
Super built-up Area,Ready To Move,Vaishali Nagar,2 BHK,Shyam Residency,3165,2,2,203.82
Built-up Area,Ready To Move,Bapu Nagar,1 BHK,Pearl Gardens,2950,1,0,276.65
Super built-up Area,Ready To Move,Parasrampuri,1 BHK,Shyam Residency,3025,1,0,153.1
Super built-up Area,Ready To Move,Maniyawas,5 BHK,Raj Villas,1545,5,3,42.59
Plot Area,Ready To Move,Ajmer Road,1 BHK,Park View,4947,2,1,238.12
Plot Area,Ready To Move,Gandhi Path West,5 BHK,Sunrise Apartments,1781,5,3,229.69
Plot Area,Ready To Move,Parasrampuri,4 BHK,Shyam Residency,3819,3,2,220.13
Super built-up Area,Ready To Move,Vaishali Nagar,1 BHK,Raj Villas,2849,2,0,382.5
Built-up Area,Ready To Move,Bapu Nagar,4 BHK,Cosmopolitan Society,1517,5,3,109.21
Super built-up Area,Ready To Move,Raja Park,3 BHK,Golden Horizon,2737,2,2,201.34
Super built-up Area,Under Construction,Sirsi,2 BHK,Sunrise Apartments,1082,3,1,62.86
Carpet Area,Ready To Move,Civil Lines,5 BHK,Green Meadows,2167,4,3,254.07
